"No.","Time","Source","Destination","Source Port","Destination Port","Protocol","Length","ICMP Type","Flags"
"75","13.914082","192.168.42.224","34.120.115.102","62095","443","TLSv1.3","85","","0x018"
"76","13.915976","34.120.115.102","192.168.42.224","443","62095","TLSv1.3","282","","0x018"
"77","13.916381","192.168.42.224","34.120.115.102","62095","443","TLSv1.3","93","","0x018"
"78","13.947996","34.120.237.76","192.168.42.224","443","62096","TCP","54","","0x010"
"79","13.952477","192.168.42.224","34.120.237.76","62096","443","TCP","54","","0x010"
"80","13.989122","34.120.115.102","192.168.42.224","443","62095","TCP","54","","0x010"
"81","13.989207","34.120.237.76","192.168.42.224","443","62096","TCP","54","","0x010"
"82","14.024247","34.120.208.123","192.168.42.224","443","62094","TLSv1.2","510","","0x018"
"83","14.024336","34.120.208.123","192.168.42.224","443","62094","TLSv1.2","166","","0x018"
"84","14.024368","192.168.42.224","34.120.208.123","62094","443","TCP","54","","0x010"
"85","14.024588","34.120.208.123","192.168.42.224","443","62094","TLSv1.2","238","","0x018"
"86","14.024621","34.120.208.123","192.168.42.224","443","62094","TLSv1.2","100","","0x018"
"87","14.024639","192.168.42.224","34.120.208.123","62094","443","TCP","54","","0x010"
"88","14.024999","192.168.42.224","34.120.208.123","62094","443","TLSv1.2","100","","0x018"
"89","14.063979","34.120.208.123","192.168.42.224","443","62094","TLSv1.2","129","","0x018"
"90","14.064112","34.120.208.123","192.168.42.224","443","62094","TLSv1.2","189","","0x018"
"91","14.064146","192.168.42.224","34.120.208.123","62094","443","TCP","54","","0x010"
"92","14.064194","34.120.208.123","192.168.42.224","443","62094","TLSv1.2","148","","0x018"
"93","14.106189","192.168.42.224","34.120.208.123","62094","443","TCP","54","","0x010"
"94","14.184119","34.120.208.123","192.168.42.224","443","62094","TCP","54","","0x010"
"95","15.477941","192.168.42.224","34.120.208.123","62094","443","TLSv1.2","205","","0x018"
"96","15.478069","192.168.42.224","34.120.208.123","62094","443","TLSv1.2","400","","0x018"
"97","15.480055","192.168.42.224","192.168.42.129","60960","53","DNS","103","",""
"98","15.480461","192.168.42.129","192.168.42.224","53","60960","DNS","103","",""
"99","15.482620","192.168.42.224","192.168.42.129","64075","53","DNS","71","",""
"100","15.482639","192.168.42.224","192.168.42.129","61069","53","DNS","82","",""
"101","15.483111","192.168.42.224","192.168.42.129","58441","53","DNS","74","",""
"102","15.486676","192.168.42.224","192.168.42.129","64229","53","DNS","75","",""
"103","15.513880","204.79.197.200","192.168.42.224","443","62092","TCP","54","","0x014"
"104","15.513980","13.107.140.254","192.168.42.224","443","62089","TCP","54","","0x014"
"105","15.547366","192.168.42.224","192.168.42.129","64229","53","DNS","75","",""
"106","15.547472","192.168.42.224","192.168.42.129","58441","53","DNS","74","",""
"107","15.547526","192.168.42.224","192.168.42.129","64075","53","DNS","71","",""
"108","15.547588","192.168.42.224","192.168.42.129","61069","53","DNS","82","",""
"109","15.565625","34.120.208.123","192.168.42.224","443","62094","TCP","54","","0x010"
"110","15.565709","34.120.208.123","192.168.42.224","443","62094","TCP","54","","0x010"
"111","15.592750","192.168.42.129","192.168.42.224","53","64075","DNS","327","",""
"112","15.604007","192.168.42.129","192.168.42.224","53","61069","DNS","98","",""
"113","15.604209","192.168.42.129","192.168.42.224","53","58441","DNS","90","",""
"114","15.605335","192.168.42.224","192.168.42.129","54231","53","DNS","82","",""
"115","15.605833","192.168.42.129","192.168.42.224","53","54231","DNS","98","",""
"116","15.606080","192.168.42.129","192.168.42.224","53","64229","DNS","365","",""
"117","15.606467","192.168.42.224","192.168.42.129","50327","53","DNS","82","",""
"118","15.624403","192.168.42.224","142.250.192.142","62097","443","TCP","66","","0x002"
"119","15.626123","192.168.42.224","192.168.42.129","64977","53","DNS","71","",""
"120","15.626588","192.168.42.129","192.168.42.224","53","64977","DNS","327","",""
"121","15.626986","192.168.42.224","192.168.42.129","50327","53","DNS","82","",""
